fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2017-03-01,B691Y,SA POBLA,ILLES BALEARS,40,"14,6","0,0","8,8",23:59,"20,3",13:50,06,"1,4","7,5",14:50,"9,6","1017,6",21,"1012,2",00
2017-03-01,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,40,"10,8","0,0","6,5",,"15,0",14:50,20,"1,9","5,8",04:20,,"1014,2",23,"1009,9",06
2017-03-01,3260B,TOLEDO,TOLEDO,515,"11,0","0,0","4,3",07:00,"17,7",15:50,99,"2,5","7,8",Varias,"10,9","960,8",Varias,"958,4",16
2017-03-01,1249I,OVIEDO,ASTURIAS,336,"12,6","2,0","5,9",01:00,"19,4",15:30,25,"2,5","9,7",16:30,"9,2","977,8",24,"974,7",16
2017-03-01,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"10,0","0,0","3,7",07:30,"16,4",15:50,,,,,,,,,
2017-03-01,1283U,CABO BUSTO,ASTURIAS,60,"14,8","1,6","12,2",00:20,"17,4",13:30,25,"10,0","22,5",14:00,"2,9","1010,1",22,"1006,0",14
2017-03-01,C430E,IZAÑA,STA. CRUZ DE TENERIFE,2371,"9,3","0,0","5,9",03:50,"12,7",11:20,19,"11,4","23,9",10:00,"11,2","769,1",23,"766,4",05
2017-03-01,1083L,CASTRO URDIALES,CANTABRIA,45,,,,,,,,"2,2",,,,,,,
2017-03-01,2117D,ARANDA DE DUERO,BURGOS,790,"9,0","0,0","4,1",05:00,"13,9",15:20,23,"2,2","8,9",15:30,"2,5","929,8",11,"927,0",00
2017-03-01,5514,GRANADA BASE AÉREA,GRANADA,687,"11,0","0,0","3,0",04:45,"19,0",16:00,,"1,9",,,"9,7","940,8",Varias,"938,5",Varias
2017-03-01,B248,"SIERRA DE ALFABIA, BUNYOLA",ILLES BALEARS,1030,"6,4","0,0","3,3",05:50,"9,4",15:50,29,"6,1","19,2",03:00,,,,,
2017-03-01,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",SALAMANCA,1960,"2,1","0,0","-1,3",04:40,"5,5",13:00,24,"3,6","9,2",17:40,"0,0","805,6",21,"803,4",Varias
2017-03-01,2661B,LEÓN AEROPUERTO,LEON,912,"7,9","0,0","3,0",07:24,"12,8",15:49,99,"4,2","14,4",Varias,"2,3","914,3",Varias,"911,6",16
2017-03-01,5860E,"MOGUER, EL ARENOSILLO",HUELVA,41,"13,6","0,0","9,1",07:00,"18,0",15:50,28,"2,5","5,6",17:50,,,,,
2017-03-01,2465,SEGOVIA,SEGOVIA,1005,"9,3","0,0","5,0",04:40,"13,6",16:00,25,"2,2","7,2",01:40,"9,6","906,3",22,"903,8",16
2017-03-01,B228,"PALMA DE MALLORCA, PUERTO",ILLES BALEARS,3,"13,6","0,0","10,0",23:59,"17,3",13:00,34,"1,4","7,2",00:20,"9,6","1019,9",21,"1014,2",00
2017-03-01,B013X,"ESCORCA, LLUC",ILLES BALEARS,490,"9,2","0,0","3,0",23:59,"15,5",12:50,99,"0,8","6,1",Varias,,,,,
2017-03-01,4090Y,SAN CLEMENTE,CUENCA,728,"9,5","0,0","4,5",23:59,"14,5",16:20,03,"2,2","7,2",14:30,,"937,1",11,"934,6",16
2017-03-01,0324A,RIPOLL,GIRONA,675,"6,3","0,0","-1,4",07:00,"14,0",15:30,,,,,,,,,
2017-03-01,5995B,VEJER DE LA FRONTERA,CADIZ,186,"15,6","0,0","10,7",07:00,"20,4",14:30,22,"2,2","6,9",15:50,,,,,
2017-03-01,1473A,PADRÓN,A CORUÑA,100,"12,4","12,7","9,5",07:20,"15,3",14:20,27,"3,3","13,6",14:20,,,,,
2017-03-01,2811A,NAVARREDONDA DE GREDOS,AVILA,1525,"7,1","1,0","-1,7",07:00,"15,9",13:20,14,"0,8","6,7",11:30,,,,,
2017-03-01,1024E,"DONOSTIA/SAN SEBASTIÁN, IGUELDO",GIPUZKOA,251,"11,9","0,0","6,3",05:00,"17,5",15:30,23,"4,7","12,5",Varias,"8,0","988,7",24,"985,8",18
2017-03-01,9619,LA SEU D'URGELL,LLEIDA,677,"7,0","0,0","-2,9",07:00,"16,8",15:20,,,,,,,,,
2017-03-01,5427X,DOÑA MENCÍA,CORDOBA,650,"10,9","0,0","5,8",06:30,"16,0",14:50,32,"1,4","5,6",13:10,,,,,
2017-03-01,1111,SANTANDER,CANTABRIA,52,"13,2","0,0","9,1",00:00,"17,2",10:30,20,"2,5","7,8",04:32,"9,9","1012,2",24,"1009,0",07
2017-03-01,2503X,OLMEDO,VALLADOLID,740,"8,9","0,0","3,4",06:20,"14,4",15:00,26,"1,7","8,3",16:10,,"929,8",Varias,"924,1",15
2017-03-01,1082,BILBAO AEROPUERTO,BIZKAIA,42,"11,6","0,0","3,6",03:20,"19,6",15:24,25,"3,1","12,5",11:15,"8,6","1015,3",Varias,"1010,5",15
2017-03-01,B569X,CAPDEPERA,ILLES BALEARS,66,"14,9",,"11,5",23:50,"18,3",12:50,88,"6,1","12,8",00:20,,,,,
2017-03-01,7145D,CIEZA,MURCIA,265,"13,6","0,0","7,0",07:00,"20,1",15:00,12,"3,1","8,3",18:30,,,,,
2017-03-01,5402,CÓRDOBA AEROPUERTO,CORDOBA,90,"12,8","0,0","4,4",06:34,"21,2",15:06,08,"1,4","6,7",11:13,"9,0","1011,4",Varias,"1008,2",16
2017-03-01,1387E,A CORUÑA AEROPUERTO,A CORUÑA,98,"12,8","10,5","10,3",02:15,"15,4",14:21,24,"5,3","16,4",13:06,,"1006,2",Varias,"1004,1",04
2017-03-01,5641X,ÉCIJA,SEVILLA,130,"12,4","0,0","4,8",07:00,"19,9",15:50,01,"0,8","4,7",10:30,,"1007,2",09,"1004,1",15
2017-03-01,4148,VISO DEL MARQUÉS,CIUDAD REAL,778,"9,4","0,0","2,7",07:00,"16,0",15:50,99,"1,1","3,6",Varias,,"930,5",10,"927,6",16
2017-03-01,1002Y,"BAZTAN, IRURITA ",NAVARRA,183,"9,9","0,0","1,5",07:10,"18,3",14:50,22,"0,6","7,8",14:10,,,,,
2017-03-01,6058I,ESTEPONA,MALAGA,11,"15,4","0,0","9,9",06:00,"20,8",14:00,10,"0,8","4,2",09:40,"10,4","1020,4",22,"1017,4",04
2017-03-01,9898,HUESCA AEROPUERTO,HUESCA,546,"8,6","0,0","1,5",06:30,"15,6",14:50,27,"1,4","6,7",00:40,"10,1","955,3",11,"951,5",00
2017-03-01,9569A,CALANDA,TERUEL,466,"10,4","0,0","4,1",06:50,"16,7",15:50,26,"1,7","7,8",10:40,,"966,1",10,"963,3",17
